comment_id	abstract_id	annotator	score	comment
[1]	1	Jessica  Polka	context_nounchange_1-	
[2]	1	jonathon coates	context_effect-_1-	
[3]	1	Jessica  Polka	conclusion_stat-_1-	
[4]	2	Jessica  Polka	ground-breaking)	
[5]	2	jonathon coates	specific)	
[6]	2	Mate  Palfy	results_added_1+	
[7]	2	jonathon coates	results_stat-_1-	
[8]	2	Mate  Palfy	results_removed_1-	
[9]	2	Jessica  Polka	medication)	
[10]	2	jonathon coates	resuts_stat+_1+	
[11]	2	Jessica  Polka	reduced)	
[12]	2	Mate  Palfy	results_removed_1-	
[13]	2	Mate  Palfy	conclusions_stat+_1+	
[14]	2	Jessica  Polka	conclusions_stat-1-	
[15]	2	Jessica  Polka	conclusions_effect-_1-	
[16]	2	Jessica  Polka	conclusion_effect+_1+	
[17]	3	Jessica  Polka	context_added_1	
[18]	3	Jessica  Polka	context_nounchange_1	
[19]	3	Mate  Palfy	context_removed_1	
[20]	3	jonathon coates	context_removed_1	
[21]	3	Jessica  Polka	conclusion_stat-_1-	
[22]	3	Jessica  Polka	context_removed_1	
[23]	3	jonathon coates	context_added_1+	
[24]	3	Jessica  Polka	context_added_1	
[25]	3	jonathon coates	results_removed_1	(reconciled)
[26]	4	Dey,  Gautam	context_added_1+	
[27]	4	Mate  Palfy	context_removed_1	
[28]	4	jonathon coates	results_removed_1-	
[29]	4	Dey,  Gautam	context_added_1+	
[30]	4	jonathon coates	results_added_1	(reconciled)
[31]	4	jonathon coates	results_stat+_1	(reconciled)
[32]	4	Dey,  Gautam	conclusion_added_1+	
[33]	7	Jessica  Polka	context_removed_1	
[34]	7	Jessica  Polka	context_removed_1+	
[35]	7	Jessica  Polka	context_nounchange_1	
[36]	7	Jessica  Polka	context_stat-_1-	
[37]	7	Jessica  Polka	context_removed_1-	
[38]	7	Jessica  Polka	results_stat+_1+	
[39]	7	Jessica  Polka	results_stat+_1+	
[40]	7	Jessica  Polka	context_removed_1	
[41]	7	jonathon coates	results_stat+_1+	
[42]	8	jonathon coates	results_effect-_1-	
[43]	8	Jessica  Polka	conclusions_stat-_1-	
[44]	8	Jessica  Polka	conclusions_stat-_1-	
[45]	9	Jessica  Polka	context_nounchange_1	
[46]	9	Dey,  Gautam	elsewhere)	
[47]	10	Dey,  Gautam	context_nounchange_1	
[48]	10	Jessica  Polka	conclusions_removed_1-	
[49]	10	Jessica  Polka	results_removed_1-	
[50]	10	jonathon coates	results_effect-_1-	
[51]	10	Jessica  Polka	results_added_1-	
[52]	10	Jessica  Polka	conclusions_removed_1-	
[53]	11	Jessica  Polka	context_removed_1	
[54]	11	Jessica  Polka	context_stat-_1-	
[55]	11	Dey,  Gautam	context_removed_1	
[56]	11	Mate  Palfy	context_removed_1-	
[57]	11	Mate  Palfy	context_removed_1-	
[58]	11	Jessica  Polka	results_added_1+	
[59]	11	Mate  Palfy	context_removed_1-	
[60]	11	Mate  Palfy	context_removed_1	
[61]	11	Mate  Palfy	context_removed_1	
[62]	11	Mate  Palfy	results_statinfo_1+	
[63]	11	jonathon coates	conclusion_added_1+	
[64]	11	Jessica  Polka	clear)	
[65]	11	Jessica  Polka	conclusion_removed_1+	
[66]	12	Jessica  Polka	context_removed_1-	
[67]	12	Mate  Palfy	context_nounchange_1+	
[68]	12	Mate  Palfy	results_stat-_1-	
[69]	12	Jessica  Polka	conclusions_added_1+	
[70]	12	Mate  Palfy	am	
[71]	12	Mate  Palfy	conclusions_added_1-	
[72]	13	Jessica  Polka	genotyping)	
[73]	13	Jessica  Polka	rearrangement)	
[74]	13	Jessica  Polka	happened)	
[75]	13	Jessica  Polka	treatments)	
[76]	13	Mate  Palfy	context_removed_1	
[77]	13	Mate  Palfy	context_removed_1	
[78]	13	Mate  Palfy	results_added_1-	
[79]	13	Dey,  Gautam	conclusion_added_1+	
[80]	13	Jessica  Polka	results_added_1+	
[81]	13	Jessica  Polka	results_removed_1-	
[82]	14	Mate  Palfy	context_added	
[83]	14	Jessica  Polka	context_effect-_1	
[84]	14	Mate  Palfy	context_added	
[85]	14	Jessica  Polka	contradictory)	
[86]	14	Mate  Palfy	context_added	
[87]	14	Jessica  Polka	context)	
[88]	14	Jessica  Polka	symptoms)	
[89]	15	Mate  Palfy	results_statinfo_1-	
[90]	16	Jessica  Polka	context_removed_1	
[91]	16	Dey,  Gautam	context_nounchange_1	
[92]	16	Jessica  Polka	context_added_1+	
[93]	16	Jessica  Polka	results_nounchange_1+	
[94]	16	Jessica  Polka	context_removed_1	
[95]	16	Mate  Palfy	results_added_1+	
[96]	16	Jessica  Polka	differ”)	
[97]	16	Dey,  Gautam	results)	
[98]	16	jonathon coates	pm	
[99]	16	Mate  Palfy	result)	
[100]	16	jonathon coates	results_stat-_1-	
[101]	16	Jessica  Polka	results_added_1+	
[102]	17	Jessica  Polka	implied)	
[103]	17	Jessica  Polka	higher)	
[104]	17	Dey,  Gautam	context_added_1+	
[105]	17	jonathon coates	results_stat+_1+	
[106]	17	Jessica  Polka	results_stat-_1-	(causality)
[107]	17	Jessica  Polka	pm	
[108]	17	Jessica  Polka	results_stat-_1-	(causality)
[109]	17	Jessica  Polka	results_stat-_1-	(causality)
[110]	19	Jessica  Polka	removed_1	
[111]	19	Jessica  Polka	context_added_1	
[112]	19	Jessica  Polka	dm)	
[113]	19	Jessica  Polka	pm	
[114]	19	Jessica  Polka	context_added_1	
[115]	19	Jessica  Polka	context_removed_1	
[116]	19	Jessica  Polka	context_added_1	
[117]	19	Dey,  Gautam	context_added_1	
[118]	19	Jessica  Polka	context_added_1	
[119]	19	Jessica  Polka	comprehensive)	
[120]	19	Mate  Palfy	conclusions_added_1+	
[121]	19	Jessica  Polka	therapy’)	
[122]	19	Jessica  Polka	context_removed_1	
[123]	19	Jessica  Polka	context_nounchange_1-	
[124]	20	Jessica  Polka	verb)	
[125]	20	Dey,  Gautam	conclusion_added_1+	
